personId,firstName,lastName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber,Full Name
63,Michael,Smith,3/28/1972,Providence,USA,80,240,FALSE,TRUE,FALSE,1994,2,35,Michael Smith
64,Sam,Perkins,6/14/1961,North Carolina,USA,81,64,FALSE,TRUE,TRUE,1984,1,4,Sam Perkins
65,Greg,Minor,9/8/1971,Louisville,USA,78,210,TRUE,FALSE,FALSE,1994,1,25,Greg Minor
66,Marques,Bragg,3/24/1970,Providence,USA,80,230,FALSE,TRUE,FALSE,-1,-1,-1,Marques Bragg
67,Tom,Hammonds,3/27/1967,Georgia Tech,USA,,,FALSE,TRUE,FALSE,1989,1,9,Tom Hammonds
70,Steve,Kerr,9/27/1965,Arizona,USA,73,70,TRUE,FALSE,FALSE,1988,2,50,Steve Kerr
71,Pooh,Richardson,5/14/1966,UCLA,USA,73,180,TRUE,FALSE,FALSE,1989,1,10,Pooh Richardson
72,Kenny,Anderson,10/9/1970,Georgia Tech,USA,73,168,TRUE,FALSE,FALSE,1991,1,2,Kenny Anderson
73,Hot Rod,Williams,8/9/1962,Tulane,USA,83,245,FALSE,FALSE,TRUE,1985,2,45,Hot Rod Williams
74,Derrick,Phelps,7/31/1972,North Carolina,USA,76,181,FALSE,TRUE,FALSE,-1,-1,-1,Derrick Phelps
76,Cedric,Ceballos,8/2/1969,California State-Fullerton,USA,79,76,FALSE,TRUE,FALSE,1990,2,48,Cedric Ceballos
77,Doug,Overton,8/3/1969,La Salle,USA,75,190,TRUE,FALSE,FALSE,1991,2,40,Doug Overton
78,LaSalle,Thompson,6/23/1961,Texas,USA,82,78,FALSE,FALSE,FALSE,1982,1,5,LaSalle Thompson
80,Ken,Norman,9/5/1964,Illinois,USA,80,215,FALSE,TRUE,FALSE,1987,1,19,Ken Norman
81,Jeff,Grayer,12/17/1965,Iowa State,USA,77,210,TRUE,FALSE,FALSE,1988,1,13,Jeff Grayer
82,Bill,Wennington,4/26/1963,St. John's (NY),USA,84,245,FALSE,FALSE,TRUE,1985,1,16,Bill Wennington
84,Latrell,Sprewell,9/8/1970,Alabama,USA,77,195,TRUE,FALSE,FALSE,1992,1,24,Latrell Sprewell
85,Brent,Price,12/9/1968,Oklahoma,USA,73,85,TRUE,FALSE,FALSE,1992,2,32,Brent Price
87,Dikembe,Mutombo,6/25/1966,Georgetown,Congo,86,260,FALSE,FALSE,TRUE,1991,1,4,Dikembe Mutombo
88,Steve,Scheffler,9/3/1967,Purdue,USA,81,250,FALSE,TRUE,FALSE,1990,2,39,Steve Scheffler
89,Nick,Van Exel,11/27/1971,Cincinnati,USA,73,190,TRUE,FALSE,FALSE,1993,2,37,Nick Van Exel
93,Hubert,Davis,5/17/1970,North Carolina,USA,77,183,TRUE,FALSE,FALSE,1992,1,20,Hubert Davis
95,Mark,Bryant,4/25/1965,Seton Hall,USA,81,250,FALSE,TRUE,FALSE,1988,1,21,Mark Bryant
96,Detlef,Schrempf,1/21/1963,Washington,USA,82,235,FALSE,TRUE,FALSE,1985,1,8,Detlef Schrempf
97,Ronnie,Grandison,7/9/1964,New Orleans,USA,78,220,FALSE,TRUE,FALSE,1987,5,100,Ronnie Grandison
98,Nick,Anderson,1/20/1968,Illinois,USA,78,228,TRUE,TRUE,FALSE,1989,1,11,Nick Anderson
100,Tim,Legler,12/26/1966,La Salle,USA,76,200,TRUE,FALSE,FALSE,-1,-1,-1,Tim Legler
101,Scott,Skiles,3/5/1964,Michigan State,USA,73,180,TRUE,FALSE,FALSE,1986,1,22,Scott Skiles
103,Todd,Day,1/7/1970,Arkansas,USA,,,,,,1992,1,8,Todd Day
104,Benoit,Benjamin,11/22/1964,Creighton,USA,84,250,FALSE,FALSE,TRUE,1985,1,3,Benoit Benjamin
105,Dan,Majerle,9/9/1965,Central Michigan,USA,78,222,TRUE,TRUE,FALSE,1988,1,14,Dan Majerle
107,Dale,Ellis,8/6/1960,Tennessee,USA,79,205,TRUE,FALSE,FALSE,1983,1,9,Dale Ellis
109,Robert,Horry,8/25/1970,Alabama,USA,82,240,FALSE,TRUE,TRUE,1992,1,11,Robert Horry
111,LaPhonso,Ellis,5/5/1970,Notre Dame,USA,80,240,FALSE,TRUE,FALSE,1992,1,5,LaPhonso Ellis
112,Dontonio,Wingfield,6/23/1974,Cincinnati,USA,80,256,FALSE,TRUE,FALSE,1994,2,37,Dontonio Wingfield
114,Harold,Miner,5/5/1971,Southern California,USA,77,210,TRUE,FALSE,FALSE,1992,1,12,Harold Miner
116,David,Wood,11/30/1964,Nevada-Reno,USA,81,230,FALSE,TRUE,FALSE,-1,-1,-1,David Wood
117,Jeff,Malone,6/28/1961,Mississippi State,USA,76,205,TRUE,FALSE,FALSE,1983,1,10,Jeff Malone
120,Steven,Smith,3/31/1969,Michigan State,USA,80,221,TRUE,TRUE,FALSE,1991,1,5,Steven Smith
121,Patrick,Ewing,8/5/1962,Georgetown,Jamaica,84,121,FALSE,FALSE,TRUE,1985,1,1,Patrick Ewing
122,Fred,Roberts,8/14/1960,Brigham Young,USA,82,218,FALSE,TRUE,FALSE,1982,2,27,Fred Roberts
123,Robert,Pack,2/3/1969,Southern California,USA,74,190,TRUE,FALSE,FALSE,-1,-1,-1,Robert Pack
124,Vlade,Divac,2/3/1968,Partizan,Serbia,85,260,FALSE,FALSE,TRUE,1989,1,26,Vlade Divac
128,David,Benoit,5/9/1968,Alabama,USA,80,220,FALSE,TRUE,FALSE,-1,-1,-1,David Benoit
129,Dino,Radja,4/24/1967,Virtus Roma,Croatia,83,225,FALSE,FALSE,TRUE,1989,2,40,Dino Radja
132,Dwayne,Morton,8/10/1971,Louisville,USA,79,195,TRUE,FALSE,FALSE,1994,2,45,Dwayne Morton
133,David,Wesley,11/14/1970,Baylor,USA,73,203,TRUE,FALSE,FALSE,-1,-1,-1,David Wesley
134,Kevin,Johnson,3/4/1966,California,USA,73,190,TRUE,FALSE,FALSE,1987,1,7,Kevin Johnson
136,P.J.,Brown,10/14/1969,Louisiana Tech,USA,83,239,FALSE,TRUE,TRUE,1992,2,29,P.J. Brown
137,Vernon,Maxwell,9/12/1965,Florida,USA,76,190,TRUE,FALSE,FALSE,1988,2,47,Vernon Maxwell
138,Anthony,Avent,10/18/1969,Seton Hall,USA,81,240,FALSE,FALSE,TRUE,1991,1,15,Anthony Avent
140,Donald,Royal,5/22/1966,Notre Dame,USA,80,218,FALSE,TRUE,FALSE,1987,3,52,Donald Royal
141,Anthony,Tucker,4/4/1969,Wake Forest,USA,80,141,FALSE,TRUE,FALSE,-22,-22,-22,Anthony Tucker
143,Terry,Dehere,9/12/1971,Seton Hall,USA,76,190,TRUE,FALSE,FALSE,1993,1,13,Terry Dehere
145,Tracy,Murray,7/25/1971,UCLA,USA,79,230,FALSE,TRUE,FALSE,1992,1,18,Tracy Murray
146,Jud,Buechler,6/19/1968,Arizona,USA,78,228,TRUE,TRUE,FALSE,1990,2,38,Jud Buechler
147,Jalen,Rose,1/30/1973,Michigan,USA,80,215,TRUE,TRUE,FALSE,1994,1,13,Jalen Rose
149,Michael,Adams,1/19/1963,Boston College,USA,70,165,TRUE,FALSE,FALSE,1985,3,66,Michael Adams
154,Adrian,Caldwell,7/4/1966,Lamar,USA,80,154,FALSE,FALSE,FALSE,-22,-22,-22,Adrian Caldwell
156,Antoine,Carr,7/23/1961,Wichita State,USA,81,225,FALSE,TRUE,FALSE,1983,1,8,Antoine Carr
157,Derek,Harper,10/13/1961,Illinois,USA,76,206,TRUE,FALSE,FALSE,1983,1,11,Derek Harper
160,Tim,Breaux,9/19/1970,Wyoming,USA,79,215,FALSE,TRUE,FALSE,-1,-1,-1,Tim Breaux
164,Chris,Childs,11/20/1967,Boise State,USA,75,195,TRUE,FALSE,FALSE,-1,-1,-1,Chris Childs
165,Hakeem,Olajuwon,1/21/1963,Houston,Nigeria,84,255,FALSE,FALSE,TRUE,1984,1,1,Hakeem Olajuwon
166,Ron,Harper,1/20/1964,Miami (Ohio),USA,78,215,TRUE,FALSE,FALSE,1986,1,8,Ron Harper
168,Chris,Mills,1/25/1970,Arizona,USA,79,220,FALSE,TRUE,FALSE,1993,1,22,Chris Mills
170,Joe,Kleine,1/4/1962,Arkansas,USA,83,255,FALSE,FALSE,TRUE,1985,1,6,Joe Kleine
173,Keith,Askins,12/15/1967,Alabama,USA,80,173,TRUE,TRUE,FALSE,-22,-22,-22,Keith Askins
174,John,Battle,11/9/1962,Rutgers,USA,74,174,TRUE,FALSE,FALSE,1985,4,84,John Battle
175,Alton,Lister,10/1/1958,Arizona State,USA,84,245,FALSE,TRUE,TRUE,1981,1,21,Alton Lister
176,Antonio,Harvey,7/6/1970,Pfeiffer,USA,83,250,FALSE,TRUE,TRUE,-1,-1,-1,Antonio Harvey
177,Muggsy,Bogues,1/9/1965,Wake Forest,USA,,,TRUE,FALSE,FALSE,1987,1,12,Muggsy Bogues
178,Olden,Polynice,11/21/1964,Virginia,USA,82,178,FALSE,FALSE,FALSE,1987,1,8,Olden Polynice
179,Bryant,Stith,12/10/1970,Virginia,USA,77,210,TRUE,FALSE,FALSE,1992,1,13,Bryant Stith
180,John,Crotty,7/15/1969,Virginia,USA,73,185,TRUE,FALSE,FALSE,-1,-1,-1,John Crotty
181,Kenny,Smith,3/8/1965,North Carolina,USA,75,170,TRUE,FALSE,FALSE,1987,1,6,Kenny Smith
182,Billy,Owens,5/1/1969,Syracuse,USA,81,225,TRUE,TRUE,FALSE,1991,1,3,Billy Owens
183,Bison,Dele,4/6/1969,Arizona,USA,83,260,FALSE,TRUE,TRUE,1991,1,10,Bison Dele
184,Bobby,Phills,12/20/1969,Southern,USA,77,184,FALSE,FALSE,FALSE,1991,2,45,Bobby Phills
185,Chris,Webber,3/1/1973,Michigan,USA,82,245,FALSE,TRUE,TRUE,1993,1,1,Chris Webber
187,Terry,Cummings,3/15/1961,DePaul,USA,81,220,FALSE,TRUE,FALSE,1982,1,2,Terry Cummings
189,B.J.,Tyler,4/30/1971,Texas-Austin,USA,73,185,TRUE,FALSE,FALSE,1994,1,20,B.J. Tyler
190,Duane,Causwell,5/31/1968,Temple,USA,84,255,FALSE,FALSE,TRUE,1990,1,18,Duane Causwell
192,Dennis,Scott,9/5/1968,Georgia Tech,USA,80,229,FALSE,TRUE,FALSE,1990,1,4,Dennis Scott
193,Anthony,Mason,12/14/1966,Tennessee State,USA,80,255,FALSE,TRUE,FALSE,1988,3,53,Anthony Mason
194,Anthony,Bowie,11/9/1963,Oklahoma,USA,78,194,TRUE,FALSE,FALSE,1986,3,66,Anthony Bowie
195,Lee,Mayberry,6/12/1970,Arkansas,USA,73,195,FALSE,FALSE,FALSE,1992,1,23,Lee Mayberry
197,Scott,Burrell,1/12/1971,Connecticut,USA,79,218,TRUE,FALSE,FALSE,1993,1,20,Scott Burrell
198,Danny,Ferry,10/17/1966,Duke,USA,82,235,FALSE,TRUE,FALSE,1989,1,2,Danny Ferry
199,Reggie,Williams,3/5/1964,Georgetown,USA,,,,,,1987,1,4,Reggie Williams
201,Chris,Dudley,2/22/1965,Yale,USA,83,201,FALSE,FALSE,TRUE,1987,4,75,Chris Dudley
202,Gary,Grant,4/21/1965,Michigan,USA,,202,FALSE,FALSE,FALSE,1988,1,15,Gary Grant
203,Nate,McMillan,8/3/1964,North Carolina State,USA,77,210,TRUE,TRUE,FALSE,1986,2,30,Nate McMillan
204,Jeff,Hornacek,5/3/1963,Iowa State,USA,76,204,TRUE,FALSE,FALSE,1986,2,46,Jeff Hornacek
208,Sam,Cassell,11/18/1969,Florida State,USA,75,208,TRUE,FALSE,FALSE,1993,1,24,Sam Cassell
209,Dell,Curry,6/25/1964,Virginia Tech,USA,77,205,TRUE,TRUE,FALSE,1986,1,15,Dell Curry
210,Terrell,Brandon,5/20/1970,Oregon,USA,71,173,TRUE,FALSE,FALSE,1991,1,11,Terrell Brandon
211,Eric,Mobley,2/1/1970,Pittsburgh,USA,83,235,FALSE,FALSE,TRUE,1994,1,18,Eric Mobley
212,Yinka,Dare,10/10/1972,George Washington,USA,84,265,FALSE,FALSE,TRUE,1994,1,14,Yinka Dare
213,Antonio,Davis,10/31/1968,Texas-El Paso,USA,81,245,FALSE,TRUE,TRUE,1990,2,45,Antonio Davis
216,Brian,Shaw,3/22/1966,California-Santa Barbara,USA,78,200,TRUE,FALSE,FALSE,1988,1,24,Brian Shaw
219,Vinny,Del Negro,8/9/1966,North Carolina State,USA,,219,FALSE,FALSE,FALSE,1988,2,29,Vinny Del Negro
221,Clar.,Weatherspoon,9/8/1970,Southern Mississippi,USA,79,270,FALSE,TRUE,FALSE,1992,1,9,Clar. Weatherspoon
223,Bill,Curley,5/29/1972,Boston College,USA,,,FALSE,TRUE,FALSE,1994,1,22,Bill Curley
224,Eddie,Jones,10/20/1971,Temple,USA,78,200,TRUE,TRUE,FALSE,1994,1,10,Eddie Jones
226,Antonio,Lang,5/15/1972,Duke,USA,80,205,FALSE,TRUE,FALSE,1994,2,29,Antonio Lang
228,Adam,Keefe,2/22/1970,Stanford,USA,81,230,FALSE,TRUE,FALSE,1992,1,10,Adam Keefe
229,James,Edwards,11/22/1955,Washington,USA,85,229,FALSE,FALSE,TRUE,1977,3,46,James Edwards
234,Khalid,Reeves,7/15/1972,Arizona,USA,75,199,TRUE,FALSE,FALSE,1994,1,12,Khalid Reeves
236,Kevin,Edwards,10/30/1965,DePaul,USA,75,210,TRUE,FALSE,FALSE,1988,1,20,Kevin Edwards
238,Tyrone,Hill,3/19/1968,Xavier,USA,81,250,FALSE,TRUE,FALSE,1990,1,11,Tyrone Hill
239,Darrick,Martin,3/6/1971,UCLA,USA,71,170,TRUE,FALSE,FALSE,-1,-1,-1,Darrick Martin
240,Brooks,Thompson,7/19/1970,Oklahoma State,USA,76,193,TRUE,FALSE,FALSE,1994,1,27,Brooks Thompson
241,Darrin,Hancock,11/3/1971,Kansas,USA,79,205,FALSE,TRUE,FALSE,1994,2,38,Darrin Hancock
243,Aaron,McKie,10/2/1972,Temple,USA,77,209,TRUE,FALSE,FALSE,1994,1,17,Aaron McKie
244,Dee,Brown,11/29/1968,Jacksonville,USA,,,TRUE,FALSE,FALSE,1990,1,19,Dee Brown
246,Greg,Anderson,6/22/1964,Houston,USA,82,250,FALSE,TRUE,TRUE,1987,1,23,Greg Anderson
247,Joe,Dumars,5/24/1963,McNeese State,USA,75,247,TRUE,FALSE,FALSE,1985,1,18,Joe Dumars
248,George,Lynch,9/3/1970,North Carolina,USA,80,235,FALSE,TRUE,FALSE,1993,1,12,George Lynch
251,Sean,Elliott,2/2/1968,Arizona,USA,80,220,FALSE,TRUE,FALSE,1989,1,3,Sean Elliott
252,Karl,Malone,7/24/1963,Louisiana Tech,USA,81,259,FALSE,TRUE,FALSE,1985,1,13,Karl Malone
255,Grant,Hill,10/5/1972,Duke,USA,80,225,FALSE,TRUE,FALSE,1994,1,3,Grant Hill
258,Brian,Grant,3/5/1972,Xavier,USA,81,254,FALSE,TRUE,TRUE,1994,1,8,Brian Grant
262,Michael,Cage,1/28/1962,San Diego State,USA,81,224,FALSE,FALSE,TRUE,1984,1,14,Michael Cage
265,Harvey,Grant,7/4/1965,Oklahoma,USA,81,225,FALSE,TRUE,FALSE,1988,1,12,Harvey Grant
270,Horace,Grant,7/4/1965,Clemson,USA,82,270,FALSE,FALSE,TRUE,1987,1,10,Horace Grant
271,Johnny,Newman,11/28/1963,Richmond,USA,79,210,FALSE,TRUE,FALSE,1986,2,29,Johnny Newman
273,Duane,Ferrell,2/28/1965,Georgia Tech,USA,79,215,FALSE,TRUE,FALSE,-1,-1,-1,Duane Ferrell
275,Allan,Houston,4/20/1971,Tennessee,USA,78,205,TRUE,FALSE,FALSE,1993,1,11,Allan Houston
278,Stacey,Augmon,8/1/1968,UNLV,USA,80,213,TRUE,TRUE,FALSE,1991,1,9,Stacey Augmon
279,Charles,Jones,4/3/1957,Albany State (GA),USA,81,215,FALSE,TRUE,TRUE,1979,8,165,Charles Jones
280,Felton,Spencer,1/5/1968,Louisville,USA,84,290,FALSE,FALSE,TRUE,1990,1,6,Felton Spencer
281,Scott,Williams,3/21/1968,North Carolina,USA,82,260,FALSE,TRUE,TRUE,-1,-1,-1,Scott Williams
283,Lindsey,Hunter,12/3/1970,Jackson State,USA,74,195,TRUE,FALSE,FALSE,1993,1,10,Lindsey Hunter
285,Greg,Grant,8/29/1966,College of New Jersey,USA,67,140,TRUE,FALSE,FALSE,1989,2,52,Greg Grant
287,Eric,Leckner,5/27/1966,Wyoming,USA,83,265,FALSE,FALSE,TRUE,1988,1,17,Eric Leckner
288,Armen,Gilliam,5/28/1964,UNLV,USA,81,260,FALSE,TRUE,FALSE,1987,1,2,Armen Gilliam
289,Ledell,Eackles,11/24/1966,New Orleans,USA,77,231,TRUE,FALSE,FALSE,1988,2,36,Ledell Eackles
291,Ed,Pinckney,3/27/1963,Villanova,USA,81,240,FALSE,TRUE,FALSE,1985,1,10,Ed Pinckney
292,Anthony,Miller,10/22/1971,Michigan State,USA,81,255,FALSE,TRUE,FALSE,1994,2,39,Anthony Miller
293,Charles,Smith,7/16/1965,Pittsburgh,USA,82,244,FALSE,TRUE,FALSE,1988,1,3,Charles Smith
296,Rick,Fox,7/24/1969,North Carolina,Canada,79,235,FALSE,TRUE,FALSE,1991,1,24,Rick Fox
297,Alonzo,Mourning,2/8/1970,Georgetown,USA,82,261,FALSE,FALSE,TRUE,1992,1,2,Alonzo Mourning
299,Glenn,Robinson,1/10/1973,Purdue,USA,79,240,FALSE,TRUE,FALSE,1994,1,1,Glenn Robinson
302,Mookie,Blaylock,3/20/1967,Oklahoma,USA,,,TRUE,FALSE,FALSE,1989,1,12,Mookie Blaylock
304,John,Stockton,3/26/1962,Gonzaga,USA,73,175,TRUE,FALSE,FALSE,1984,1,16,John Stockton
305,Robert,Parish,8/30/1953,Centenary-Louisiana,USA,85,244,FALSE,FALSE,TRUE,1976,1,8,Robert Parish
306,Steve,Colter,7/24/1962,New Mexico State,USA,75,306,TRUE,FALSE,FALSE,1984,2,33,Steve Colter
308,Derrick,Alston,8/20/1972,Duquesne,USA,83,225,FALSE,FALSE,TRUE,1994,2,33,Derrick Alston
310,Bobby,Hurley,6/28/1971,Duke,USA,72,165,TRUE,FALSE,FALSE,1993,1,7,Bobby Hurley
313,Vern,Fleming,2/4/1962,Georgia,USA,77,313,TRUE,FALSE,FALSE,1984,1,18,Vern Fleming
316,Richard,Manning,6/23/1970,Washington,USA,83,245,FALSE,FALSE,TRUE,1993,2,40,Richard Manning
317,John,Starks,8/10/1965,Oklahoma State,USA,77,190,TRUE,FALSE,FALSE,-1,-1,-1,John Starks
320,Jamie,Watson,2/23/1972,South Carolina,USA,79,190,FALSE,TRUE,FALSE,1994,2,47,Jamie Watson
321,Scott,Haskin,9/19/1970,Oregon State,USA,83,250,FALSE,TRUE,FALSE,1993,1,14,Scott Haskin
323,Greg,Foster,10/3/1968,Texas-El Paso,USA,83,250,FALSE,FALSE,TRUE,1990,2,35,Greg Foster
324,Anthony,Peeler,11/25/1969,Missouri,USA,76,208,TRUE,FALSE,FALSE,1992,1,15,Anthony Peeler
328,Rick,Mahorn,9/21/1958,Hampton,USA,82,328,FALSE,TRUE,FALSE,1980,2,35,Rick Mahorn
330,Danny,Manning,5/17/1966,Kansas,USA,82,234,FALSE,TRUE,TRUE,1988,1,1,Danny Manning
333,Kevin,Gamble,11/13/1965,Iowa,USA,77,210,FALSE,TRUE,FALSE,1987,3,63,Kevin Gamble
335,Willie,Anderson,1/8/1967,Georgia,USA,80,200,TRUE,TRUE,FALSE,1988,1,10,Willie Anderson
339,Tom,Gugliotta,12/19/1969,North Carolina State,USA,82,250,FALSE,TRUE,FALSE,1992,1,6,Tom Gugliotta
340,Kevin,Pritchard,7/17/1967,Kansas,USA,75,180,TRUE,FALSE,FALSE,1990,2,34,Kevin Pritchard
341,Joe,Wolf,12/17/1964,North Carolina,USA,83,341,FALSE,FALSE,FALSE,1987,1,13,Joe Wolf
342,Andy,Toolson,1/19/1966,Brigham Young,USA,78,210,FALSE,TRUE,FALSE,-1,-1,-1,Andy Toolson
344,Dana,Barros,4/13/1967,Boston College,USA,71,165,TRUE,FALSE,FALSE,1989,1,16,Dana Barros
345,Terry,Porter,4/8/1963,Wisconsin-Stevens Point,USA,75,205,TRUE,FALSE,FALSE,1985,1,24,Terry Porter
346,Doug,Edwards,1/21/1971,Florida State,USA,79,235,FALSE,TRUE,FALSE,1993,1,15,Doug Edwards
348,Mitchell,Butler,12/15/1970,UCLA,USA,77,210,TRUE,FALSE,FALSE,-1,-1,-1,Mitchell Butler
349,Mark,Jackson,4/1/1965,St. John's (NY),USA,75,195,TRUE,FALSE,FALSE,1987,1,18,Mark Jackson
351,Stacey,King,1/29/1967,Oklahoma,USA,83,250,FALSE,TRUE,TRUE,1989,1,6,Stacey King
353,Darrell,Armstrong,6/22/1968,Fayetteville State,USA,73,180,TRUE,FALSE,FALSE,-1,-1,-1,Darrell Armstrong
355,Vincent,Askew,2/28/1966,Memphis,USA,78,210,TRUE,FALSE,FALSE,1987,2,39,Vincent Askew
356,Chris,Morris,1/20/1966,Auburn,USA,80,228,FALSE,TRUE,FALSE,1988,1,4,Chris Morris
357,Greg,Sutton,12/3/1967,Oral Roberts,USA,74,185,TRUE,FALSE,FALSE,1991,2,49,Greg Sutton
358,Anfernee,Hardaway,7/18/1971,Memphis,USA,79,215,FALSE,TRUE,FALSE,1993,1,3,Anfernee Hardaway
359,Chucky,Brown,2/29/1968,North Carolina State,USA,80,359,FALSE,TRUE,FALSE,1989,2,43,Chucky Brown
361,Clifford,Robinson,12/16/1966,Connecticut,USA,82,245,FALSE,TRUE,TRUE,1989,2,36,Clifford Robinson
363,Christian,Laettner,8/17/1969,Duke,USA,83,245,FALSE,TRUE,TRUE,1992,1,3,Christian Laettner
364,Rex,Chapman,10/5/1967,Kentucky,USA,76,185,TRUE,FALSE,FALSE,1988,1,8,Rex Chapman
365,Derrick,McKey,10/10/1966,Alabama,USA,82,241,FALSE,TRUE,FALSE,1987,1,9,Derrick McKey
368,Dwayne,Schintzius,10/14/1968,Florida,USA,86,285,FALSE,FALSE,TRUE,1990,1,24,Dwayne Schintzius
369,Charlie,Ward,10/12/1970,Florida State,USA,74,185,TRUE,FALSE,FALSE,1994,1,26,Charlie Ward
371,Terry,Mills,12/21/1967,Michigan,USA,82,230,FALSE,TRUE,FALSE,1990,1,16,Terry Mills
375,Isaiah,Rider,3/12/1971,UNLV,USA,77,215,TRUE,FALSE,FALSE,1993,1,5,Isaiah Rider
376,Eric,Montross,9/23/1971,North Carolina,USA,84,270,FALSE,FALSE,TRUE,1994,1,9,Eric Montross
378,Craig,Ehlo,8/11/1961,Washington State,USA,78,180,TRUE,FALSE,FALSE,1983,3,48,Craig Ehlo
380,Tony,Smith,6/14/1968,Marquette,USA,,380,FALSE,FALSE,FALSE,1990,2,51,Tony Smith
381,James,Robinson,8/31/1970,Alabama,USA,,,TRUE,FALSE,FALSE,1993,1,21,James Robinson
383,Kendall,Gill,5/25/1968,Illinois,USA,77,216,TRUE,FALSE,FALSE,1990,1,5,Kendall Gill
